Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
PTPA4,"80,00","3,86","1,19","0,528","0,00%","0,392","2,38","3,79","-1,33","7,23","5,45","13,93%","13,69%","1,79","13,27%","30,85%","0,00","1.201.690.000,00","1,59","18,08%"
RANI4,"5,50","3,87","1,00","0,840","0,00%","0,379","1,57","3,26","-1,31","5,76","4,35","25,79%","21,71%","3,71","14,73%","25,84%","0,00","1.320.340.000,00","1,23","16,04%"
VALE5,"33,36","3,91","0,81","0,735","0,00%","0,331","16,38","1,84","-0,86","2,50","2,10","39,97%","19,00%","1,12","20,04%","20,68%","0,00","187.211.000.000,00","0,39","5,19%"
FRAS4,"5,79","3,95","0,79","0,461","0,00%","0,375","1,03","2,83","4,24","2,57","2,07","16,31%","12,01%","2,48","21,60%","20,10%","0,00","1.968.450.000,00","0,56","25,54%"
POSI3,"8,55","4,00","0,74","0,287","4,89%","0,273","0,73","3,05","1,94","4,98","4,36","9,43%","7,27%","1,96","12,36%","18,40%","11.476.400,00","1.648.030.000,00","0,84","24,45%"
VINE3,"17,20","4,04","0,65","0,577","0,00%","0,340","1,38","4,52","7,60","7,40","5,54","12,76%","14,42%","1,91","8,62%","16,14%","0,00","1.118.520.000,00","0,60","2,21%"
MGEL4,"13,97","4,07","2,39","0,088","0,00%","0,108","0,48","1,15","-0,24","9,32","7,18","7,62%","2,16%","1,82","10,47%","58,79%","23.801,90","33.770.000,00","18,85","15,35%"
MTBR4,"1,05","4,07","0,70","0,136","0,00%","0,176","6,08","1,94","-3,04","1,34","1,11","7,02%","3,36%","1,04","23,08%","17,31%","0,00","2.239.720.000,00","0,60","8,48%"
PINE4,"4,13","4,07","0,80","0,000","9,10%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","19,75%","860.155,00","1.079.860.000,00","0,00","55,65%"
STBP11,"14,40","4,11","1,12","1,058","0,00%","0,509","-35,39","2,65","-1,35","2,75","2,22","39,84%","25,76%","0,92","21,75%","27,33%","0,00","2.218.490.000,00","0,24","27,20%"
VLID3,"15,18","4,12","0,81","0,562","9,38%","0,454","1,32","2,84","4,31","3,12","2,46","19,76%","13,46%","2,82","21,82%","19,60%","5.962.530,00","1.538.910.000,00","0,46","0,84%"
DAYC4,"8,90","4,12","0,71","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","17,33%","0,00","3.009.030.000,00","0,00","8,15%"
VINE5,"17,64","4,14","0,67","0,592","0,00%","0,349","1,41","4,64","7,80","7,52","5,63","12,76%","14,42%","1,91","8,62%","16,14%","0,00","1.118.520.000,00","0,60","2,21%"
CPFP4,"44,00","4,23","3,11","0,401","0,00%","0,300","-4,04","2,00","-0,48","5,04","4,44","20,07%","9,49%","0,79","17,25%","73,65%","0,00","750.369.000,00","5,25","9,60%"
VBBR3,"20,93","4,28","1,41","0,143","7,16%","0,543","1,86","4,24","-6,65","6,08","5,52","3,38%","3,35%","2,20","16,57%","33,06%","168.837.000,00","16.556.000.000,00","0,95","20,41%"
ALLD3,"7,18","4,30","0,42","0,114","28,26%","0,194","0,61","3,80","1,48","4,93","3,66","2,99%","2,64%","1,89","8,43%","9,87%","832.030,00","1.582.950.000,00","0,38","3,45%"
PETR4,"36,72","4,35","1,18","0,976","17,52%","0,449","39,63","2,14","-0,97","3,16","2,37","45,57%","22,56%","1,08","23,30%","27,02%","1.556.280.000,00","407.636.000.000,00","0,76","19,89%"
BBAS3,"26,61","4,45","0,90","0,000","7,88%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","20,34%","487.069.000,00","168.546.000.000,00","0,00","28,77%"
CLSC3,"66,20","4,47","0,82","0,246","4,26%","0,205","-19,37","2,71","-0,44","5,15","3,83","9,06%","5,49%","0,96","8,87%","18,30%","28.037,50","3.120.450.000,00","1,02","6,21%"
PETR3,"38,31","4,54","1,23","1,019","16,79%","0,468","41,34","2,24","-1,02","3,25","2,44","45,57%","22,56%","1,08","23,30%","27,02%","499.332.000,00","407.636.000.000,00","0,76","19,89%"
HBRE3,"5,16","4,54","0,26","3,455","0,00%","0,111","2,16","1,23","-0,35","3,91","3,88","281,17%","161,43%","1,85","9,48%","5,78%","2.470.590,00","2.030.120.000,00","0,68","27,34%"
CLSC4,"67,22","4,54","0,83","0,249","4,61%","0,209","-19,67","2,75","-0,45","5,19","3,86","9,06%","5,49%","0,96","8,87%","18,30%","303.087,00","3.120.450.000,00","1,02","6,21%"
GPIV33,"3,63","4,58","0,39","2,155","0,00%","0,228","2,19","3,42","18,04","1,77","1,77","62,97%","48,92%","2,97","7,93%","8,58%","2.513.400,00","1.495.660.000,00","0,06","-9,75%"
SCAR3,"22,44","4,63","0,76","0,997","7,76%","0,378","2,57","2,54","-1,53","4,80","4,38","39,28%","21,38%","2,38","16,38%","16,52%","323.256,00","1.695.040.000,00","0,87","33,29%"
EALT3,"11,18","4,64","1,00","0,488","4,13%","0,440","10,09","4,12","-2,90","5,99","4,43","11,85%","10,53%","1,12","11,46%","21,53%","3.941,88","252.047.000,00","0,50","20,66%"
BRAP3,"17,44","4,66","0,83","0,000","15,48%","0,829","10,49","-320,36","10,53","-287,14","-287,14","0,00%","0,00%","12,26","-0,28%","17,91%","1.430.840,00","8.214.080.000,00","0,00","0,00%"
VCPA4,"26,01","4,72","1,02","0,789","0,00%","0,353","3,76","2,01","-1,00","4,05","2,99","39,18%","16,75%","1,46","22,95%","21,57%","0,00","14.149.000.000,00","1,46","22,71%"
EALT4,"11,45","4,75","1,02","0,500","4,44%","0,451","10,33","4,22","-2,97","6,09","4,50","11,85%","10,53%","1,12","11,46%","21,53%","135.257,00","252.047.000,00","0,50","20,66%"
TKNO4,"65,00","4,75","0,65","0,681","6,38%","0,512","1,33","5,00","1,48","3,42","2,94","13,60%","14,33%","3,23","13,64%","13,66%","2.817,33","295.436.000,00","0,01","16,74%"
BNBR3,"116,00","4,78","0,89","0,000","4,98%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","18,55%","9.832,58","11.299.100.000,00","0,00","14,35%"
BRAP4,"17,97","4,80","0,86","0,000","16,52%","0,854","10,81","-330,09","10,85","-296,87","-296,87","0,00%","0,00%","12,26","-0,28%","17,91%","76.043.700,00","8.214.080.000,00","0,00","0,00%"
SAPR3,"5,02","4,85","0,75","1,161","5,59%","0,383","5,49","2,79","-1,22","4,44","3,76","41,54%","23,91%","1,66","15,44%","15,44%","1.130.950,00","10.123.600.000,00","0,63","7,98%"
MTRE3,"3,36","4,90","0,36","0,362","16,64%","0,173","0,36","12,23","0,64","26,06","18,24","2,96%","7,98%","2,61","1,59%","7,43%","5.299.910,00","976.796.000,00","0,60","33,35%"
GOAU4,"10,34","4,96","0,60","0,161","13,84%","0,138","0,55","1,35","2,04","1,95","1,40","11,98%","9,67%","2,82","12,21%","12,16%","99.445.000,00","17.694.200.000,00","0,62","16,55%"
PINE3,"5,04","4,97","0,98","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","19,75%","5.121,74","1.079.860.000,00","0,00","55,65%"
GOAU3,"10,43","5,01","0,61","0,163","13,72%","0,139","0,55","1,36","2,06","1,96","1,41","11,98%","9,67%","2,82","12,21%","12,16%","623.197,00","17.694.200.000,00","0,62","16,55%"
NEOE3,"18,16","5,04","0,71","0,501","5,42%","0,216","9,15","2,46","-0,47","6,92","5,32","20,31%","10,08%","1,11","9,94%","14,13%","19.143.500,00","30.954.000.000,00","1,55","12,14%"
MTSA4,"41,00","5,09","0,81","0,704","6,44%","0,653","1,08","9,59","1,12","6,15","4,55","7,34%","13,83%","4,52","10,16%","15,85%","414.425,00","446.721.000,00","0,07","19,27%"
BMEB3,"25,20","5,10","1,58","0,000","4,76%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","30,96%","16.937,20","1.672.510.000,00","0,00","19,43%"
SAPR11,"26,80","5,18","0,80","1,239","5,65%","0,409","5,86","2,98","-1,30","4,63","3,92","41,54%","23,91%","1,66","15,44%","15,44%","24.512.800,00","10.123.600.000,00","0,63","7,98%"
JHSF3,"3,85","5,22","0,53","1,707","8,25%","0,218","1,25","4,61","-0,90","9,26","8,49","37,06%","36,13%","2,33","5,35%","10,10%","16.957.700,00","4.959.010.000,00","0,81","20,75%"
MOAR3,"398,00","5,28","3,08","0,000","7,46%","1,613","3,80","-194,69","30,23","-159,30","-164,00","0,00%","0,00%","5,04","-1,71%","58,43%","18.363,40","1.581.850.000,00","0,42","-99,45%"
BMEB4,"26,20","5,30","1,64","0,000","5,03%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","30,96%","457.180,00","1.672.510.000,00","0,00","19,43%"
SAPR4,"5,50","5,32","0,82","1,272","5,61%","0,419","6,01","3,06","-1,33","4,71","3,98","41,54%","23,91%","1,66","15,44%","15,44%","7.297.130,00","10.123.600.000,00","0,63","7,98%"
BRSR6,"10,99","5,32","0,46","0,000","5,45%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","8,62%","23.891.000,00","9.798.830.000,00","0,00","4,70%"
GGBR3,"16,02","5,33","0,65","0,510","6,66%","0,439","1,77","4,25","6,90","4,89","3,50","12,00%","9,62%","2,79","12,25%","12,21%","1.323.530,00","51.919.400.000,00","0,21","16,55%"
DEXP4,"10,00","5,35","1,22","0,565","5,40%","0,652","1,37","5,80","2,26","4,91","4,13","9,74%","12,19%","3,57","16,90%","22,86%","16.883,20","768.208.000,00","0,35","21,08%"
HBOR3,"2,06","5,38","0,20","0,212","4,42%","0,043","0,13","1,59","-1,69","11,04","9,49","13,35%","13,69%","2,35","2,96%","3,63%","1.147.970,00","1.413.800.000,00","1,48","-0,12%"
MDNE3,"10,65","5,40","0,65","0,749","0,00%","0,257","1,05","4,23","-1,50","4,73","4,55","17,72%","13,87%","2,28","6,79%","12,10%","5.381.230,00","1.384.340.000,00","0,26","36,50%"
DEXP3,"10,10","5,41","1,24","0,571","5,06%","0,659","1,38","5,86","2,28","4,97","4,18","9,74%","12,19%","3,57","16,90%","22,86%","694.497,00","768.208.000,00","0,35","21,08%"
CMIG4,"10,51","5,45","1,18","0,807","8,74%","0,524","15,36","4,08","-1,75","5,06","4,30","19,76%","14,82%","1,15","14,64%","21,72%","132.556.000,00","25.414.600.000,00","0,46","11,07%"
LEVE3,"31,01","5,51","3,79","0,969","24,82%","1,347","5,27","5,19","-98,60","5,79","5,15","18,67%","17,57%","1,68","35,32%","68,84%","13.253.400,00","1.107.580.000,00","0,82","17,50%"
CGAS3,"105,06","5,52","16,16","0,938","10,47%","0,929","509,45","5,16","-1,64","7,21","5,90","18,18%","17,00%","1,00","23,96%","292,91%","16.778,70","861.744.000,00","9,40","17,30%"
BOBR4,"2,05","5,55","-13,18","0,374","0,00%","0,631","-9,24","2,50","-1,17","3,80","3,38","14,98%","6,74%","0,88","35,09%","-237,60%","31.541,80","-40.517.000,00","-8,07","9,47%"
TECN3,"4,77","5,55","0,83","0,943","3,21%","0,513","1,00","5,52","1,93","5,15","6,14","17,08%","17,00%","4,94","12,22%","14,89%","1.042.710,00","396.632.000,00","0,23","7,10%"
WIZC3,"5,74","5,56","1,77","0,796","4,29%","0,351","14,49","1,60","-1,23","1,57","1,29","49,70%","23,30%","1,11","27,47%","31,81%","2.625.120,00","519.136.000,00","0,67","12,22%"
EVEN3,"6,29","5,56","0,64","0,420","16,00%","0,169","0,31","3,98","0,98","5,15","4,99","10,55%","12,02%","3,55","5,05%","11,42%","5.210.580,00","1.980.140.000,00","0,72","13,02%"
BRSR3,"11,59","5,61","0,48","0,000","5,17%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","8,62%","88.530,60","9.798.830.000,00","0,00","4,70%"
CSMG3,"20,65","5,64","1,01","1,042","15,61%","0,555","19,34","4,04","-1,93","6,01","4,26","25,79%","18,49%","1,21","14,89%","17,97%","27.707.500,00","7.752.950.000,00","0,59","9,48%"
BPIA3,"6,10","5,64","1,06","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","18,84%","0,00","77.395.000,00","0,00","13,41%"
BPAR3,"182,07","5,64","0,87","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","15,48%","0,00","1.983.700.000,00","0,00","6,01%"
DSUL3,"7,95","5,65","0,97","0,879","0,00%","0,721","1,93","2,37","2,70","1,27","1,27","37,13%","16,02%","3,50","48,91%","17,25%","0,00","236.447.000,00","0,01","36,69%"
CEEB5,"39,00","5,65","1,48","0,676","13,22%","0,358","-11,98","2,59","-0,65","5,97","4,87","26,11%","11,96%","0,87","15,08%","26,20%","449,05","6.904.000.000,00","2,11","10,28%"
CEEB3,"39,16","5,67","1,49","0,679","13,17%","0,360","-12,03","2,60","-0,65","5,98","4,88","26,11%","11,96%","0,87","15,08%","26,20%","19.761,70","6.904.000.000,00","2,11","10,28%"
RNPT4,"31,81","5,74","0,39","0,467","0,00%","0,379","57,01","56,10","57,01","56,05","56,05","0,83%","8,13%","1,38","0,68%","6,72%","0,00","63.944.000,00","0,00","4,85%"
RNPT3,"31,87","5,75","0,39","0,468","0,00%","0,380","57,12","56,21","57,12","56,15","56,15","0,83%","8,13%","1,38","0,68%","6,72%","0,00","63.944.000,00","0,00","4,85%"
ETER4,"9,85","5,77","0,79","0,553","0,00%","0,474","1,99","12,04","10,78","14,31","7,88","4,60%","9,59%","2,16","4,22%","13,69%","0,00","769.884.000,00","0,17","22,63%"
ABCB4,"20,93","5,79","0,83","0,000","7,12%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,41%","14.561.400,00","6.138.130.000,00","0,00","55,27%"
LAVV3,"8,04","5,82","1,21","1,558","7,99%","0,635","0,94","6,99","1,56","6,68","6,65","22,30%","28,04%","5,47","11,69%","20,88%","6.382.880,00","1.321.070.000,00","0,34","31,98%"
EQMA3B,"27,38","5,83","1,15","0,778","8,69%","0,483","9,17","3,45","-1,45","5,22","4,35","22,55%","13,34%","1,27","16,11%","19,69%","8.166,26","3.915.830.000,00","0,77","10,26%"
RANI3,"8,37","5,88","1,52","1,278","8,93%","0,577","2,39","4,95","-1,99","7,45","5,63","25,79%","21,71%","3,71","14,73%","25,84%","6.281.080,00","1.320.340.000,00","1,23","16,04%"
GGBR4,"17,74","5,90","0,72","0,565","6,01%","0,486","1,96","4,70","7,65","5,34","3,83","12,00%","9,62%","2,79","12,25%","12,21%","244.174.000,00","51.919.400.000,00","0,21","16,55%"
ELPL6,"30,20","5,91","1,93","0,311","0,00%","0,209","-2,84","1,81","-0,32","4,03","3,12","17,11%","5,26%","0,76","12,72%","32,66%","0,00","3.091.000.000,00","2,43","6,98%"
ELPL5,"30,50","5,97","1,95","0,314","0,00%","0,211","-2,87","1,83","-0,32","4,05","3,14","17,11%","5,26%","0,76","12,72%","32,66%","0,00","3.091.000.000,00","2,43","6,98%"
CGRA3,"26,00","5,98","0,61","0,789","4,72%","0,433","1,69","6,93","2,87","4,91","3,51","11,40%","13,19%","2,40","7,95%","10,19%","81.610,00","889.748.000,00","0,00","12,42%"
CGAS5,"114,00","5,99","17,53","1,017","10,62%","1,008","552,80","5,60","-1,78","7,65","6,26","18,18%","17,00%","1,00","23,96%","292,91%","122.351,00","861.744.000,00","9,40","17,30%"
PLAS3,"5,11","6,01","-0,14","0,065","0,00%","0,090","-0,23","-7,63","-0,07","-42,02","7,41","-0,86%","1,09%","0,47","-1,40%","-2,40%","4.138,63","-439.298.000,00","-0,72","27,11%"
ALLL11,"16,50","6,03","0,38","0,523","0,00%","0,121","0,99","1,54","-0,27","4,63","2,96","34,07%","8,71%","2,13","9,46%","6,33%","0,00","16.050.700.000,00","1,24","14,81%"
ALLL4,"3,32","6,07","0,38","0,526","0,00%","0,122","0,99","1,54","-0,27","4,64","2,96","34,07%","8,71%","2,13","9,46%","6,33%","0,00","16.050.700.000,00","1,24","14,81%"
TIET11,"17,44","6,09","3,13","3,010","0,00%","0,638","1.434,52","5,02","-1,05","8,78","6,62","59,93%","49,91%","1,00","13,97%","51,45%","0,00","2.222.740.000,00","2,67","7,76%"
TIET3,"3,49","6,09","3,13","3,012","0,00%","0,638","1.435,34","5,03","-1,05","8,78","6,63","59,93%","49,91%","1,00","13,97%","51,45%","0,00","2.222.740.000,00","2,67","7,76%"
CSRN3,"21,73","6,10","2,14","1,022","11,87%","0,639","58,91","3,94","-1,35","6,38","5,39","25,95%","16,77%","1,05","18,36%","35,17%","12.327,10","1.703.000.000,00","1,55","9,35%"
TIET4,"3,51","6,13","3,15","3,029","0,00%","0,642","1.443,57","5,06","-1,05","8,81","6,65","59,93%","49,91%","1,00","13,97%","51,45%","0,00","2.222.740.000,00","2,67","7,76%"
CGRA4,"26,85","6,18","0,63","0,815","4,57%","0,447","1,74","7,15","2,96","5,13","3,68","11,40%","13,19%","2,40","7,95%","10,19%","110.441,00","889.748.000,00","0,00","12,42%"
SOJA3,"14,39","6,19","1,93","0,958","5,70%","0,739","2,17","7,39","2,96","7,78","7,31","12,97%","18,04%","1,97","16,00%","31,25%","8.329.480,00","1.007.310.000,00","0,81","51,45%"
CAMB3,"10,64","6,22","1,78","0,988","2,88%","1,230","4,52","4,45","6,90","4,18","3,73","22,18%","15,87%","2,27","32,95%","28,58%","653.915,00","252.806.000,00","0,04","30,48%"
POMO3,"4,89","6,27","1,56","0,831","10,05%","0,693","2,26","6,17","16,95","7,46","6,38","13,47%","13,33%","2,08","15,39%","24,84%","1.718.280,00","3.566.490.000,00","0,74","15,28%"
KEPL3,"9,00","6,34","2,07","1,031","9,42%","1,151","3,69","5,88","5,58","5,34","4,70","17,52%","16,26%","1,92","27,98%","32,72%","8.849.410,00","779.763.000,00","0,22","32,22%"
ECOR3,"6,27","6,34","1,47","0,466","4,44%","0,159","-15,53","1,36","-0,24","5,79","4,60","34,34%","7,70%","0,96","14,71%","23,18%","30.400.700,00","2.969.360.000,00","6,60","24,14%"
TRPL4,"26,47","6,38","0,97","2,633","8,33%","0,459","3,81","5,10","-1,38","7,33","7,27","51,66%","42,17%","3,08","9,79%","15,18%","91.702.000,00","18.016.200.000,00","0,58","18,52%"
COCE5,"29,90","6,41","0,54","0,280","3,23%","0,176","-0,77","1,61","-0,38","5,59","4,01","17,36%","4,36%","0,48","12,07%","8,41%","1.264.230,00","4.320.830.000,00","1,36","12,51%"
MELK3,"3,56","6,44","0,59","0,650","13,68%","0,300","0,57","7,27","0,86","5,68","5,43","8,94%","14,80%","2,94","5,15%","9,23%","1.436.600,00","1.236.660.000,00","0,23","24,10%"
MNPR3,"11,10","6,44","-0,25","0,216","0,00%","0,233","-0,21","1,49","-0,17","1,49","1,23","14,50%","3,35%","0,34","16,53%","-3,88%","50.134,80","-315.013.000,00","0,00","12,53%"
ROMI3,"10,10","6,45","0,80","0,800","7,13%","0,416","1,22","10,65","3,08","15,53","9,54","7,51%","12,46%","2,25","4,71%","12,40%","2.279.200,00","1.177.370.000,00","0,62","12,35%"
CSRN5,"23,00","6,45","2,27","1,082","12,34%","0,676","62,35","4,17","-1,43","6,61","5,58","25,95%","16,77%","1,05","18,36%","35,17%","160,47","1.703.000.000,00","1,55","9,35%"
EEEL4,"410,00","6,54","1,97","2,118","0,00%","0,669","5,15","3,79","-1,52","5,52","5,48","55,96%","32,57%","2,49","19,18%","30,08%","0,00","2.000.040.000,00","1,10","12,58%"
BMGB4,"3,10","6,55","0,45","0,000","14,18%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","6,93%","1.559.820,00","3.985.940.000,00","0,00","-12,10%"
CIQU3,"12,49","6,63","1,05","0,413","0,00%","0,515","3,33","4,25","7,55","7,50","5,23","9,72%","6,22%","1,36","12,70%","15,87%","0,00","296.175.000,00","0,84","16,23%"
CIQU4,"12,49","6,63","1,05","0,413","0,00%","0,515","3,33","4,25","7,55","7,50","5,23","9,72%","6,22%","1,36","12,70%","15,87%","0,00","296.175.000,00","0,84","16,23%"
TUPY3,"22,02","6,67","0,91","0,284","3,05%","0,296","0,93","3,52","-4,94","6,14","4,37","8,08%","4,25%","2,07","12,09%","13,71%","15.118.600,00","3.471.280.000,00","1,22","27,50%"
CMIG3,"12,89","6,68","1,45","0,990","7,12%","0,642","18,84","5,01","-2,14","5,98","5,08","19,76%","14,82%","1,15","14,64%","21,72%","3.472.220,00","25.414.600.000,00","0,46","11,07%"
CPFE3,"32,63","6,70","1,83","0,938","10,84%","0,498","-24,20","3,30","-1,04","5,25","4,50","28,47%","14,08%","0,92","17,07%","27,31%","63.651.200,00","20.534.000.000,00","1,35","8,29%"
EEEL3,"421,01","6,71","2,02","2,175","0,00%","0,687","5,29","3,89","-1,56","5,62","5,58","55,96%","32,57%","2,49","19,18%","30,08%","0,00","2.000.040.000,00","1,10","12,58%"
EQPA3,"6,90","6,83","3,00","1,460","11,01%","1,043","10,58","4,66","-2,91","5,77","5,09","31,34%","21,37%","1,50","26,38%","43,96%","42.831,00","5.075.140.000,00","0,96","17,69%"
TRIS3,"4,65","6,86","0,63","0,784","4,25%","0,308","0,64","8,69","1,16","15,47","14,75","9,02%","11,77%","2,70","4,07%","9,19%","2.256.240,00","1.377.560.000,00","0,72","6,13%"
CSRN6,"24,72","6,94","2,44","1,163","11,48%","0,727","67,01","4,48","-1,53","6,92","5,85","25,95%","16,77%","1,05","18,36%","35,17%","829,35","1.703.000.000,00","1,55","9,35%"
EQPA6,"7,01","6,94","3,05","1,483","10,84%","1,060","10,75","4,73","-2,95","5,85","5,15","31,34%","21,37%","1,50","26,38%","43,96%","16,30","5.075.140.000,00","0,96","17,69%"
SUZB3,"48,85","7,03","1,43","1,679","2,42%","0,444","2,72","7,54","-1,01","14,65","7,73","22,27%","23,94%","2,89","7,07%","20,33%","543.983.000,00","44.603.800.000,00","1,77","11,85%"
ITSA4,"9,68","7,07","1,24","13,143","8,71%","0,962","12,37","172,08","-15,08","178,62","57,62","7,64%","191,10%","2,71","0,61%","17,58%","219.029.000,00","80.435.000.000,00","0,15","10,72%"
ITSA3,"9,70","7,08","1,25","13,170","8,69%","0,964","12,39","172,43","-15,12","178,98","57,74","7,64%","191,10%","2,71","0,61%","17,58%","1.053.580,00","80.435.000.000,00","0,15","10,72%"
CIEL3,"5,64","7,13","1,26","2,386","6,42%","0,142","2,46","12,15","5,38","7,76","5,54","19,64%","33,46%","1,07","15,63%","17,67%","149.726.000,00","12.164.500.000,00","0,34","-7,35%"
VALE3,"60,83","7,13","1,47","1,340","11,49%","0,603","29,86","3,35","-1,57","4,01","3,38","39,97%","19,00%","1,12","20,04%","20,68%","1.183.190.000,00","187.211.000.000,00","0,39","5,19%"
PLPL3,"9,45","7,17","3,10","0,884","5,34%","0,951","1,68","3,20","4,92","3,35","3,25","27,61%","12,98%","2,84","40,24%","43,21%","7.636.310,00","623.151.000,00","0,59","28,40%"
WLMM3,"23,20","7,20","1,16","0,308","5,55%","0,957","2,04","5,50","2,42","5,30","5,13","5,60%","4,28%","5,56","19,07%","16,12%","492,49","728.425.000,00","0,03","26,88%"
RSUL4,"65,41","7,23","1,94","1,135","3,25%","1,023","3,39","4,51","13,86","3,85","3,59","25,15%","15,70%","2,23","30,15%","26,89%","73.351,40","204.347.000,00","0,06","22,21%"
ALLL3,"3,97","7,25","0,46","0,629","0,00%","0,146","1,19","1,85","-0,33","4,95","3,16","34,07%","8,71%","2,13","9,46%","6,33%","0,00","16.050.700.000,00","1,24","14,81%"
CYRE3,"18,98","7,26","0,95","1,160","4,90%","0,434","1,15","7,65","7,62","10,03","9,48","15,16%","18,79%","3,14","6,75%","13,10%","108.234.000,00","7.985.750.000,00","0,61","14,42%"
BRSR5,"15,00","7,26","0,63","0,000","4,20%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","8,62%","533,12","9.798.830.000,00","0,00","4,70%"
BLAU3,"9,64","7,27","0,86","1,173","3,38%","0,547","1,44","8,16","3,64","8,90","7,37","14,37%","15,98%","3,82","8,45%","11,78%","2.555.230,00","2.019.480.000,00","0,30","8,41%"
PRIO3,"41,33","7,28","2,39","3,000","0,17%","1,198","11,68","5,17","-4,29","6,16","4,34","58,03%","41,20%","1,87","27,31%","32,89%","435.486.000,00","15.396.500.000,00","0,72","66,69%"
MGEL3,"25,00","7,28","4,28","0,157","0,00%","0,194","0,87","2,06","-0,42","10,23","7,88","7,62%","2,16%","1,82","10,47%","58,79%","0,00","33.770.000,00","18,85","15,35%"
TXRX3,"9,00","7,41","-0,12","0,339","0,00%","0,202","-0,22","-2,04","-0,09","-17,99","-20,62","-16,64%","4,58%","0,30","-10,32%","-1,58%","86,02","-328.381.000,00","-0,91","10,42%"
PSSA3,"29,75","7,47","1,54","0,575","6,07%","0,431","5,52","0,70","-3,62","0,27","0,26","82,44%","7,83%","1,15","84,27%","20,59%","64.609.000,00","12.505.000.000,00","0,00","18,04%"
ENGI4,"7,82","7,47","1,17","0,597","3,87%","0,252","4,34","2,54","-0,55","5,84","4,73","23,48%","10,71%","1,28","11,84%","15,72%","100.982,00","15.247.500.000,00","2,12","11,07%"
BEES3,"8,72","7,48","1,21","0,000","7,61%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","16,21%","135.657,00","2.271.980.000,00","0,00","12,49%"
COCE6,"35,00","7,50","0,63","0,327","0,00%","0,206","-0,90","1,88","-0,44","5,86","4,21","17,36%","4,36%","0,48","12,07%","8,41%","0,00","4.320.830.000,00","1,36","12,51%"
JSLG3,"9,44","7,54","1,59","0,335","3,36%","0,192","0,79","2,75","-0,41","8,54","5,71","12,17%","4,44%","2,42","10,07%","21,11%","4.822.000,00","1.698.340.000,00","5,57","12,25%"
GETT4,"2,40","7,55","1,24","1,336","0,00%","0,081","3,13","6,04","3,36","6,86","4,78","22,13%","17,66%","1,03","1,36%","16,41%","0,00","3.618.060.000,00","0,34","0,00%"
GETT3,"2,40","7,55","1,24","1,336","0,00%","0,081","3,13","6,04","3,36","6,86","4,78","22,13%","17,66%","1,03","1,36%","16,41%","0,00","3.618.060.000,00","0,34","0,00%"
COCE3,"35,25","7,55","0,64","0,330","2,74%","0,207","-0,90","1,90","-0,45","5,88","4,22","17,36%","4,36%","0,48","12,07%","8,41%","1.307,91","4.320.830.000,00","1,36","12,51%"
REDE3,"6,67","7,57","3,46","0,837","8,77%","0,496","13,18","3,07","-0,99","5,22","4,44","27,25%","15,28%","1,15","18,90%","45,71%","12.137,30","4.069.810.000,00","3,12","11,22%"
SMTO3,"32,37","7,59","1,63","1,627","3,88%","0,550","3,32","10,41","-1,54","16,23","5,10","15,62%","21,42%","2,18","6,40%","21,51%","49.422.900,00","6.862.370.000,00","1,37","18,28%"
CEBR5,"18,45","7,62","1,26","3,746","10,29%","0,897","1,87","10,76","2,05","5,15","4,84","34,81%","63,31%","8,05","16,00%","16,60%","83.954,30","1.051.840.000,00","0,00","-41,30%"
DPPI4,"38,90","7,62","2,28","-0,665","0,00%","1,718","3,98","87,28","4,46","73,74","73,74","-0,76%","-5,04%","3,14","3,00%","29,97%","0,00","545.227.000,00","0,06","15,14%"
